ant	posx	posy	bit
1	53.5	47	22
2	53	-48.5	17
3	47	-18.5	18
4	44.5	30	21
5	42.5	51.5	19
6	42.5	-46.5	7
7	40.5	34.5	5
8	40	25.5	27
9	37.5	15.5	20
10	36.5	-19	6
11	36	21.5	32
12	33.5	45	36
13	32.5	38.5	24
14	29.5	-49.5	16
15	28.5	20.5	0
16	28.5	-22.5	25
17	26.5	-44	2
18	22.5	-35	29
19	21.5	17	28
20	17	-26.5	9
21	13.5	6.5	33
22	13.5	-15	11
23	11	-7	12
24	3.5	10	42
25	2.5	-12.5	38
26	1.5	-1	15
27	1	-17.5	10
28	-5	-21.5	8
29	-5.5	-11	40
30	-9.5	11	41
31	-12	-7	30
32	-15	3	1
33	-16	19.5	43
34	-16.5	-17.5	31
35	-18.5	-3	13
36	-19	-13.5	34
37	-24	8	39
38	-25	23	37
39	-29.5	6.5	3
40	-30.5	24.5	14
41	-40	5	26
42	-50.5	-1	23
43	-52.5	-32	27
44	-54	-10.5	4
