Antenna number;hole number;posx;posy;bit
2;1;-53,5;-61,5;0
1;2;-54,5;44,5;1
3;3;-47;-21;2
4;4;-44,7;27,5;3
6;5;-43;-59;4
5;6;-42;49;5
7;7;-41;31,5;6
8;8;-39,8;22,9;7
9;9;-40,5;9;8
10;10;-37,3;13;9
11;11;-37;-21,7;10
12;12;-36;19;11
14;13;-33;36;12
13;14;-34;42,5;13
15;15;-29,5;-52,5;14
17;16;-29;-25,2;15
16;17;-28,5;17,8;16
18;18;-26,8;-46,5;17
19;19;-22,7;-37,5;18
20;20;-16,5;-29,3;19
21;21;-13,7;-17,7;20
24;22;-11,1;-9,7;21
22;23;-13,5;3,7;22
23;24;-1,3;-23;23
28;25;-2,5;-18;24
26;26;-1,5;-3,5;25
27;27;-3,5;7,3;26
25;28;5;-24,5;27
29;29;5,5;-15,3;28
30;30;9,5;8,5;29
31;31;11,7;-9,5;30
32;32;21,7;-16,5;31
34;33;15;0,5;32
37;34;18,9;-18;33
33;35;18,5;-6,3;34
36;36;16;16,9;35
35;37;24;5;36
38;38;25;20,3;37
39;39;29,3;3,7;38
40;40;30,3;22;39
41;41;40;1,3;40
42;42;52,5;-34,5;41
44;43;50,5;-3,7;42
43;44;54;-13;43
45;45;-21,5;14,5;44
