Antenna number;hole number;x;y;bitposition
2;1;53,5;47;0
1;2;53;-48,5;1
3;3;47;-18,5;2
4;4;44,5;30;3
6;5;42,5;51,5;4
5;6;42,5;-46,5;5
7;7;40,5;34,5;6
8;8;40;25,5;7
9;9;40,5;9,5;8
10;10;37,5;15,5;9
11;11;36,5;-19;10
12;12;36;21,5;11
14;13;33,5;45;12
13;14;32,5;38,5;13
15;15;29,5;-49,5;14
17;16;28,5;20,5;15
16;17;28,5;-22,5;16
18;18;26,5;-44;17
19;19;22,5;-35;18
20;20;21,5;17;19
21;21;17;-26,5;20
24;22;13,5;6,5;21
22;23;13,5;-15;22
23;24;11;-7;23
28;25;3,5;10;24
26;26;2,5;-12,5;25
27;27;1,5;-1;26
25;28;1;-17,5;27
29;29;-5;-21,5;28
30;30;-5,5;-11;29
31;31;-9,5;11;30
32;32;-12;-7;31
34;33;-15;3;32
37;34;-16;19,5;33
33;35;-16,5;-17,5;34
36;36;-18,5;-3;35
35;37;-19;-13,5;36
38;38;-24;8;37
39;39;-25;23;38
40;40;-29,5;6,5;39
41;41;-30,5;24,5;40
42;42;-40;5;41
44;43;-50,5;-1;42
43;44;-52,5;-32;43
45;45;-54;-10,5;44
