;Antenna number;hole number;posx;posy;bit
0;2;1;53.5;61.5;0
1;1;2;54.5;-44.5;1
2;3;3;47.0;21.0;2
3;4;4;44.7;-27.5;3
4;6;5;43.0;59.0;4
5;5;6;42.0;-49.0;5
6;7;7;41.0;-31.5;6
7;8;8;39.8;-22.9;7
8;9;9;40.5;-9.0;8
9;10;10;37.3;-13.0;9
10;11;11;37.0;21.7;10
11;12;12;36.0;-19.0;11
12;14;13;33.0;-36.0;12
13;13;14;34.0;-42.5;13
14;15;15;29.5;52.5;14
15;17;16;29.0;25.2;15
16;16;17;28.5;-17.8;16
17;18;18;26.8;46.5;17
18;19;19;22.7;37.5;18
19;20;20;16.5;29.3;19
20;21;21;13.7;17.7;20
21;24;22;11.1;9.7;21
22;22;23;13.5;-3.7;22
23;23;24;1.3;23.0;23
24;28;25;2.5;18.0;24
25;26;26;1.5;3.5;25
26;27;27;3.5;-7.3;26
27;25;28;-5.0;24.5;27
28;29;29;-5.5;15.3;28
29;30;30;-9.5;-8.5;29
30;31;31;-11.7;9.5;30
31;32;32;-21.7;16.5;31
32;34;33;-15.0;-0.5;32
33;37;34;-18.9;18.0;33
34;33;35;-18.5;6.3;34
35;36;36;-16.0;-16.9;35
36;35;37;-24.0;-5.0;36
37;38;38;-25.0;-20.3;37
38;39;39;-29.3;-3.7;38
39;40;40;-30.3;-22.0;39
40;41;41;-40.0;-1.3;40
41;42;42;-52.5;34.5;41
42;44;43;-50.5;3.7;42
43;43;44;-54.0;13.0;43
44;45;45;21.5;-14.5;44
